temperature_K,pressure_bara,model,density_kg_m3,z_factor,hydrogen_mole_fraction,reference_model,reference_density_kg_m3,density_deviation_pct
288.15,100.0,SRK,79.60719246227092,0.8440122160780967,0.0,GERG2008-H2,80.8590459576816,-1.5481922654217994
288.15,100.0,PR,80.89579958548941,0.8062808766079566,0.0,GERG2008-H2,80.8590459576816,0.04545394689301485
288.15,100.0,GERG2008,80.8590459576816,0.8281408136834112,0.0,GERG2008-H2,80.8590459576816,0.0
288.15,100.0,GERG2008-H2,80.8590459576816,0.8281408136834112,0.0,GERG2008-H2,80.8590459576816,0.0
288.15,100.0,SRK,74.28653757424918,0.8644300685956886,0.05,GERG2008-H2,75.08719126395486,-1.0662986272733765
288.15,100.0,PR,75.49231668829421,0.8267111294299107,0.05,GERG2008-H2,75.08719126395486,0.5395399901365394
288.15,100.0,GERG2008,75.18820363816837,0.8516665293945057,0.05,GERG2008-H2,75.08719126395486,0.13452677149479175
288.15,100.0,GERG2008-H2,75.08719126395486,0.8528122488804012,0.05,GERG2008-H2,75.08719126395486,0.0
288.15,100.0,SRK,69.33174230411574,0.8833878314123719,0.1,GERG2008-H2,69.81884415248571,-0.6976652997951915
288.15,100.0,PR,70.4510868444595,0.8458147733842681,0.1,GERG2008-H2,69.81884415248571,0.9055473484965715
288.15,100.0,GERG2008,69.97023929887419,0.873340971634735,0.1,GERG2008-H2,69.81884415248571,0.21683994948102914
288.15,100.0,GERG2008-H2,69.81884415248571,0.8752347237564239,0.1,GERG2008-H2,69.81884415248571,0.0
288.15,100.0,SRK,60.30444050846127,0.9173950616328777,0.2,GERG2008-H2,60.42914280146385,-0.206361181412551
288.15,100.0,PR,61.24946758112852,0.8804517629395572,0.2,GERG2008-H2,60.42914280146385,1.3574986200942885
288.15,100.0,GERG2008,60.598071847758256,0.9117959656429656,0.2,GERG2008-H2,60.42914280146385,0.279548970021648
288.15,100.0,GERG2008-H2,60.42914280146385,0.91434488187362,0.2,GERG2008-H2,60.42914280146385,0.0
288.15,100.0,SRK,37.86720300206784,0.9939112404173497,0.5,GERG2008-H2,37.783599348377265,0.22126969143336783
288.15,100.0,PR,38.349059846734775,0.9608874304299528,0.5,GERG2008-H2,37.783599348377265,1.4965765784878737
288.15,100.0,GERG2008,37.838345364420356,0.9960445959979014,0.5,GERG2008-H2,37.783599348377265,0.14489359665899038
288.15,100.0,GERG2008-H2,37.783599348377265,0.9974878008373697,0.5,GERG2008-H2,37.783599348377265,0.0
288.15,100.0,SRK,19.27707510716382,1.0400408873321787,0.8,GERG2008-H2,19.255026568912367,0.1145079606748034
288.15,100.0,PR,19.437022491489984,1.0132207415472716,0.8,GERG2008-H2,19.255026568912367,0.9451865564883422
288.15,100.0,GERG2008,19.254945272348845,1.0451487200972358,0.8,GERG2008-H2,19.255026568912367,-0.0004222095629446976
288.15,100.0,GERG2008-H2,19.255026568912367,1.0451443073793931,0.8,GERG2008-H2,19.255026568912367,0.0
288.15,100.0,SRK,10.714504748721271,1.0533978410828604,0.95,GERG2008-H2,10.71346162116256,0.009736606109189694
288.15,100.0,PR,10.774439001164168,1.0304241759230253,0.95,GERG2008-H2,10.71346162116256,0.5691659909544011
288.15,100.0,GERG2008,10.712636589551266,1.0587573194261704,0.95,GERG2008-H2,10.71346162116256,-0.007700887355255315
288.15,100.0,GERG2008-H2,10.71346162116256,1.0586757857176368,0.95,GERG2008-H2,10.71346162116256,0.0
288.15,100.0,SRK,7.922765154295729,1.0564919652478704,1.0,Leachman,7.9264343676278415,-0.04629084354874635
288.15,100.0,PR,7.959316685156775,1.0349107485494236,1.0,Leachman,7.9264343676278415,0.4148437494572388
288.15,100.0,GERG2008,7.927366043523624,1.061472711643224,1.0,Leachman,7.9264343676278415,0.011754035327515844
288.15,100.0,GERG2008-H2,7.927366043523624,1.061472711643224,1.0,Leachman,7.9264343676278415,0.011754035327515844
