"ID","SaltName","ion1","ion2","stoc1","stoc2","Kspwater","Kspwater2","Kspwater3","Kspwater4","Kspwater5"
1,"NaCl","Na+","Cl-",1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3,"FeCO3","Fe++","CO3--",1.000000000,1.000000000,129.970000000,-50.205000000,7.133400000,-0.052913000,0.000000000
4,"CaCO3","Ca++","CO3--",1.000000000,1.000000000,-170410.000000000,3044.270000000,-475.704000000,0.376097000,9149500.00000000
5,"CaSO4_A","Ca++","SO4--",1.000000000,1.000000000,-19966.800000000,454.860000000,-69.840000000,0.000000000,0.000000000
6,"CaSO4_G","Ca++","SO4--",1.000000000,1.000000000,-26309.900000000,815.978000000,-138.361000000,0.167863000,18.614300000
7,"BaSO4","Ba++","SO4--",1.000000000,1.000000000,37588.000000000,-747.610000000,119.280000000,-0.162830000,-2880000.00000000
8,"SrSO4","Sr++","SO4--",1.000000000,1.000000000,-10452.900000000,19.790000000,0.000000000,0.000000000,0.000000000
9,"FeS","Fe++","HS-",1.000000000,1.000000000,-6813.350000000,50.196360000,-3.360000000,-0.055377200,0.000000000
10,"Na2CO3","Na+","CO3--",2.000000000,1.000000000,-17483.000000000,462.070000000,-70.047000000,-0.001545900,-0.004243900
11,"KHCO3","K+","HCO3-",1.000000000,1.000000000,2.240300000,69.658000000,-17.016000000,0.092964000,0.000000000
12,"NaHCO3","Na+","HCO3-",1.000000000,1.000000000,-3.636700000,-77.250000000,14.575000000,-0.022468000,0.000000000
13,"KCl","K+","Cl-",1.000000000,1.000000000,-2999.500000000,12.020000000,0.000000000,0.000000000,0.000000000
14,"K2CO3","K+","CO3--",2.000000000,1.000000000,-39.805000000,-1160.400000000,244.780000000,-0.686810000,0.000000000
15,"BaCO3","Ba+","CO3--",2.000000000,1.000000000,-46077.000000000,1399.100000000,-236.680000000,0.282890000,0.000000000
16,"SrCO3","Sr-","CO3--",2.000000000,1.000000000,-16669.000000000,362.710000000,-57.996000000,0.008317000,0.000000000
17,"Mg(OH)2","Mg++","OH-",1.000000000,2.000000000,-10621.000000000,240.710000000,-40.444000000,0.000000000,0.000000000
18,"MgCO3","Mg++","CO3--",1.000000000,1.000000000,-2298.000000000,-9.540000000,0.000000000,0.000000000,0.000000000
19,"Mg(HCO3)2","Mg++","HCO3-",1.000000000,2.000000000,0.000000000,-9.000000000,0.000000000,0.000000000,0.000000000
20,"hydromagnesite (3MgCO3-Mg(OH)2-3H2O)","Mg++","CO3--",4.000000000,3.000000000,3555.620000000,-85.022000000,0.000000000,0.000000000,0.000000000
21,"mercurycloride","Hg++","Cl-",1.000000000,2.000000000,-46077.000000000,1399.100000000,-236.680000000,0.282890000,0.000000000
