"MainGroup","n1","n2","n3","n4","n5","n6","n7","n8","n9","n10","n11","n12","n13","n14","n15","n16","n17","n18","n19","n20","n21","n22","n23","n24","n25","n26","n27","n28","n29","n30","n31","n32","n33","n34","n35","n36","n37","n38","n39","n40","n41","n42","n43","n44","n45","n46","n47","n48","n49","n50","n51","n52","n53","n54","n55","n56","n57","n58","n59","n60","n61","n62","n63","n64"
1,0.000000000,86.020000000,64.450000000,-93.370000000,986.500000000,697.200000000,1318.000000000,1333.000000000,476.400000000,677.000000000,232.100000000,507.000000000,251.500000000,391.500000000,255.700000000,206.600000000,920.700000000,287.800000000,597.000000000,663.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,153.600000000,184.400000000,354.600000000,3025.000000000,335.800000000,479.500000000,298.900000000,526.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2054.300000000,90.680000000,-268.420000000,-163.270000000,0.000000000,-190.640000000,0.000000000,613.300000000,0.000000000,61.450000000
2,-35.360000000,0.000000000,38.810000000,74.150000000,524.100000000,787.600000000,270.600000000,526.100000000,182.600000000,448.800000000,37.850000000,333.500000000,214.500000000,240.900000000,163.900000000,61.110000000,749.300000000,280.500000000,336.900000000,318.900000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,76.300000000,0.000000000,262.900000000,0.000000000,0.000000000,183.800000000,31.140000000,179.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2287.500000000,-52.107000000,38.602000000,0.000000000,0.000000000,-231.090000000,0.000000000,585.000000000,-241.560000000,0.000000000
3,-6.730000000,3.446000000,0.000000000,-155.400000000,636.100000000,637.400000000,9903.800000000,1329.000000000,25.770000000,347.300000000,5.994000000,287.100000000,32.140000000,161.700000000,122.800000000,90.490000000,648.200000000,-4.449000000,212.500000000,537.400000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,52.070000000,-10.430000000,-64.690000000,210.700000000,113.300000000,261.300000000,0.000000000,169.900000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,627.810000000,94.490000000,-63.530000000,0.000000000,0.000000000,37.230000000,49.132000000,734.870000000,680.050000000,171.390000000
4,252.500000000,-113.600000000,366.600000000,0.000000000,803.200000000,603.300000000,5695.000000000,884.900000000,-52.100000000,586.800000000,5688.000000000,197.800000000,213.100000000,19.020000000,-49.290000000,23.500000000,664.200000000,52.800000000,6096.000000000,872.300000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-9.451000000,393.600000000,48.490000000,4975.000000000,259.000000000,210.000000000,0.000000000,4284.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,821.150000000,274.360000000,-88.330000000,0.000000000,0.000000000,122.550000000,23.158000000,320.000000000,0.000000000,674.590000000
5,156.400000000,457.000000000,89.600000000,25.820000000,0.000000000,-137.100000000,353.500000000,-259.700000000,84.000000000,-203.600000000,101.100000000,267.800000000,28.060000000,8.642000000,42.700000000,-323.000000000,-52.390000000,170.000000000,6.712000000,199.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,488.900000000,147.500000000,-120.500000000,-318.900000000,313.500000000,202.100000000,727.800000000,-202.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,510.640000000,671.690000000,0.000000000,0.000000000,0.000000000,0.000000000,2847.400000000,0.000000000,0.000000000
6,16.510000000,-12.520000000,-50.000000000,-44.500000000,249.100000000,0.000000000,-181.000000000,-101.700000000,23.390000000,306.400000000,-10.720000000,179.700000000,-128.600000000,359.300000000,-20.980000000,53.900000000,489.700000000,580.500000000,53.280000000,-202.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-31.090000000,17.500000000,0.000000000,-119.200000000,212.100000000,106.300000000,0.000000000,-399.300000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,138.950000000,-72.040000000,553.560000000,0.000000000,0.000000000,190.240000000,-33.079000000,250.050000000,261.540000000,0.000000000
7,300.000000000,496.100000000,362.300000000,377.600000000,-229.100000000,289.600000000,0.000000000,324.500000000,-195.400000000,-116.000000000,72.870000000,0.000000000,540.500000000,48.890000000,168.000000000,304.000000000,243.200000000,459.000000000,112.600000000,-14.090000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,887.100000000,0.000000000,188.000000000,12.720000000,0.000000000,0.000000000,0.000000000,-139.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-655.580000000,-1163.500000000,-1159.600000000,-2181.900000000,-318.890000000,2093.100000000,724.930000000,1951.400000000,-1665.500000000,0.000000000
8,0.000000000,217.500000000,25.340000000,244.200000000,-451.600000000,-265.200000000,-601.800000000,0.000000000,-356.100000000,-271.100000000,-449.400000000,0.000000000,-162.900000000,0.000000000,0.000000000,0.000000000,119.900000000,-305.500000000,0.000000000,408.900000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8484.000000000,0.000000000,0.000000000,-687.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,695.700000000,0.000000000,0.000000000,0.000000000,1503.500000000,0.000000000,4027.500000000,0.000000000,0.000000000
9,26.760000000,42.920000000,140.100000000,365.800000000,164.500000000,108.700000000,472.500000000,-133.100000000,0.000000000,-37.360000000,-213.700000000,-190.400000000,-103.600000000,0.000000000,0.000000000,0.000000000,6201.000000000,7.341000000,481.700000000,669.400000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,216.100000000,-46.280000000,-163.700000000,71.460000000,53.590000000,245.200000000,-246.600000000,-44.580000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,132.280000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
10,505.700000000,56.300000000,23.390000000,106.000000000,529.000000000,-340.200000000,480.800000000,-155.600000000,128.000000000,0.000000000,-110.300000000,766.000000000,304.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,497.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,117.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-162.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
