"ID","MaterialGrade","Specification","MaterialType","SMYS_MPa","SMTS_MPa","AllowableStress_MPa","MaxTempC","MinTempC","Density_kg_m3","ThermalExpansion_perC","ElasticModulus_GPa","NACECompliant","Description"
1,"SA-516-60","ASME-II-A","CarbonSteel",220.0,415.0,118.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"Carbon steel plate for moderate pressure"
2,"SA-516-70","ASME-II-A","CarbonSteel",260.0,485.0,138.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"Carbon steel plate most common for compressor casings"
3,"SA-266-Gr2","ASME-II-A","CarbonSteelForging",250.0,485.0,138.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"Carbon steel forging for barrel casings"
4,"SA-266-Gr4","ASME-II-A","CarbonSteelForging",310.0,550.0,157.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"Higher strength carbon steel forging"
5,"SA-350-LF2","ASME-II-A","LowAlloyForging",250.0,485.0,138.0,343.0,-46.0,7850.0,1.17E-05,200.0,false,"Low-temperature carbon steel for cold service"
6,"SA-352-LCC","ASME-II-A","LowAlloyCasting",275.0,485.0,138.0,343.0,-46.0,7850.0,1.17E-05,200.0,false,"Low-temperature steel casting"
7,"SA-105","ASME-II-A","CarbonSteelForging",250.0,485.0,138.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"Forging for flanges and fittings"
8,"SA-182-F304","ASME-II-A","AusteniticSS",205.0,515.0,115.0,427.0,-196.0,8000.0,1.73E-05,193.0,true,"304 stainless steel forging - NACE compliant"
9,"SA-182-F316","ASME-II-A","AusteniticSS",205.0,515.0,115.0,427.0,-196.0,8000.0,1.60E-05,193.0,true,"316 stainless steel forging - NACE compliant"
10,"SA-182-F316L","ASME-II-A","AusteniticSS",170.0,485.0,110.0,427.0,-196.0,8000.0,1.60E-05,193.0,true,"316L SS forging low carbon - sour service"
11,"SA-182-F304L","ASME-II-A","AusteniticSS",170.0,485.0,110.0,427.0,-196.0,8000.0,1.73E-05,193.0,true,"304L low carbon SS for sour gas"
12,"SA-240-Tp316","ASME-II-A","AusteniticSSPlate",205.0,515.0,115.0,427.0,-196.0,8000.0,1.60E-05,193.0,true,"316 SS plate"
13,"SA-182-F22","ASME-II-A","CrMoForging",310.0,515.0,147.0,593.0,-29.0,7850.0,1.23E-05,207.0,false,"2.25Cr-1Mo forging for high temperature"
14,"SA-182-F91","ASME-II-A","CrMoVForging",415.0,585.0,167.0,593.0,-29.0,7750.0,1.10E-05,218.0,false,"9Cr-1Mo-V forging for very high temperature"
15,"A694-F65","ASTM","CarbonSteelForging",448.0,530.0,151.0,343.0,-29.0,7850.0,1.17E-05,200.0,false,"High strength forging for weldolets"
16,"SA-352-LCB","ASME-II-A","LowAlloyCasting",245.0,450.0,128.0,343.0,-46.0,7850.0,1.17E-05,200.0,false,"Low-temp carbon steel casting low alloy"
17,"SA-487-Gr4A","ASME-II-A","MartSS_Casting",550.0,760.0,190.0,427.0,-29.0,7700.0,1.05E-05,200.0,true,"12Cr martensitic SS casting NACE"
18,"SA-564-Tp630","ASME-II-A","PrecipitationHardening",725.0,930.0,185.0,315.0,-29.0,7780.0,1.08E-05,196.0,true,"17-4PH precipitation hardening SS"
19,"ASTM-A470-Cl8","ASTM","RotorForging",585.0,760.0,171.0,427.0,-29.0,7850.0,1.17E-05,207.0,false,"Rotor forging alloy steel"
20,"Inconel-718","ASTM","NickelAlloyForging",1035.0,1241.0,230.0,650.0,-196.0,8190.0,1.30E-05,211.0,true,"Nickel alloy for extreme sour and high temp"
