"ID","Manufacturer","CompressorType","MinPowerKW","MaxPowerKW","MinPressureRatioPerstage","MaxPressureRatioPerstage","MinFlowM3hr","MaxFlowM3hr","MaxStages","MaxDischargePressureBara","MaxSpeedRPM","MinImpellerDiameterMM","MaxImpellerDiameterMM","TypicalEfficiencyPct","Applications","Website","Notes"
1,"Siemens Energy","centrifugal",500,100000,1.2,4.0,1000,500000,10,700,15000,200,1500,82,"Pipeline;Export;Injection;Refrigeration","siemens-energy.com","Former Dresser-Rand product lines included"
2,"Baker Hughes (Nuovo Pignone)","centrifugal",200,80000,1.2,3.5,500,400000,9,600,18000,150,1400,81,"Pipeline;Export;Injection;Gas Lift","bakerhughes.com","BCL/MCL/PCL series"
3,"Atlas Copco Gas and Process","centrifugal",100,50000,1.3,3.8,200,350000,8,500,20000,120,1200,80,"Process;Booster;Refrigeration","atlascopco.com","Formerly Mafi-Trench; integrally geared"
4,"MAN Energy Solutions","centrifugal",300,70000,1.2,3.5,800,450000,10,650,14000,180,1500,82,"Pipeline;Export;Process;Refrigeration","man-es.com","RB/RG/HOFIM series"
5,"Elliott Group (Ebara)","centrifugal",150,40000,1.3,4.0,300,300000,8,500,16000,130,1300,80,"Process;Booster;Refrigeration;Gas Lift","elliott-turbo.com","Flex-Op technology"
6,"Mitsubishi Heavy Industries","centrifugal",500,120000,1.2,3.5,1000,600000,10,800,12000,250,1600,83,"LNG;Pipeline;Export;Injection","mhi.com","Large-scale LNG and pipeline"
7,"Solar Turbines (Caterpillar)","centrifugal",1000,30000,1.5,4.5,2000,200000,6,300,25000,100,800,78,"Pipeline;Booster;Gas Lift","solarturbines.com","Gas turbine-driven packages"
8,"Borsig","centrifugal",100,15000,1.5,4.0,200,100000,6,400,18000,100,900,79,"Process;Booster;Refrigeration","borsig.de","Specialty and process gas"
9,"Howden","centrifugal",50,10000,1.5,5.0,100,80000,6,350,22000,80,800,77,"Process;Booster;Gas Lift","howden.com","Also axial fans and blowers"
10,"Hanwha Power Systems","centrifugal",200,50000,1.2,3.5,500,350000,9,500,16000,150,1400,81,"Pipeline;Export;Process","hanwhaps.com","Formerly Samsung Techwin"
11,"GE Vernova","centrifugal",500,100000,1.2,3.5,1000,500000,10,700,14000,200,1500,82,"LNG;Pipeline;Export;Injection","gevernova.com","Formerly GE Oil and Gas"
12,"Ariel Corporation","reciprocating",50,15000,1.5,10.0,10,50000,6,700,1800,0,0,85,"Gas Lift;Booster;Injection;Process","arielcorp.com","World largest reciprocating manufacturer"
13,"Burckhardt Compression","reciprocating",100,20000,1.5,12.0,5,40000,6,1000,600,0,0,86,"Injection;Process;Booster","burckhardtcompression.com","High pressure specialty"
14,"Kobelco (Kobe Steel)","reciprocating",50,10000,1.5,8.0,10,30000,4,500,1200,0,0,84,"Process;Booster","kobelco.co.jp","Process gas reciprocating"
15,"Aerzen","screw",10,2000,1.5,6.0,50,30000,2,25,15000,0,0,75,"Booster;Process","aerzen.com","Oil-free and oil-injected screw"
