"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"NORSOK-L-001","Rev 6","Pipeline","DesignPressureMargin",1.10,1.10,"-","Design pressure safety factor per NORSOK L-001"
"NORSOK-L-001","Rev 6","Pipeline","DesignTemperatureMargin",10.00,10.00,"C","Design temperature margin"
"NORSOK-L-001","Rev 6","Pipeline","CorrosionAllowance",3.00,3.00,"mm","Standard corrosion allowance for carbon steel"
"NORSOK-L-001","Rev 6","Pipeline","JointEfficiency",0.85,1.00,"-","Weld joint efficiency factor"
"NORSOK-L-001","Rev 6","Pipeline","WallThicknessUsageFactor",0.72,0.83,"-","Wall thickness usage factor"
"NORSOK-L-001","Rev 6","AdiabaticPipe","DesignPressureMargin",1.10,1.10,"-","Design pressure safety factor"
"NORSOK-L-001","Rev 6","AdiabaticPipe","CorrosionAllowance",3.00,3.00,"mm","Standard corrosion allowance"
"NORSOK-P-001","Rev 5","Separator","GasLoadFactor",0.12,0.15,"m/s","K-factor for separator sizing"
"NORSOK-P-001","Rev 5","Separator","LiquidRetentionTime",2.00,5.00,"min","Liquid retention time"
"NORSOK-P-001","Rev 5","Separator","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-P-001","Rev 5","Separator","DesignTemperatureMargin",20.00,20.00,"C","Design temperature margin above operating"
"NORSOK-P-001","Rev 5","Separator","CorrosionAllowance",3.00,3.00,"mm","Corrosion allowance"
"NORSOK-P-001","Rev 5","ThreePhaseSeparator","GasLoadFactor",0.10,0.12,"m/s","K-factor for three-phase separator"
"NORSOK-P-001","Rev 5","ThreePhaseSeparator","LiquidRetentionTime",3.00,7.00,"min","Liquid retention time"
"NORSOK-P-001","Rev 5","ThreePhaseSeparator","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-P-001","Rev 5","GasScrubber","GasLoadFactor",0.11,0.11,"m/s","K-factor for scrubber sizing"
